['placeholder', 'California', 67172, 'default prompt', [221, 'US-CAL-CISO']]
['placeholder', 'California', 71614, 'default prompt', [294, 'US-CAL-CISO']]
['placeholder', 'California', 50913, 'default prompt', [123, 'US-CAL-CISO']]
['placeholder', 'California', 46598, 'default prompt', [104, 'US-CAL-CISO']]
['placeholder', 'California', 68145, 'default prompt', [221, 'US-CAL-CISO']]
['placeholder', 'California', 49868, 'default prompt', [110, 'US-CAL-CISO']]
['placeholder', 'California', 61060, 'default prompt', [142, 'US-CAL-CISO']]
['placeholder', 'California', 46192, 'default prompt', [104, 'US-CAL-CISO']]
['placeholder', 'California', 46230, 'default prompt', [104, 'US-CAL-CISO']]
['placeholder', 'California', 74428, 'default prompt', [286, 'US-CAL-CISO']]
['placeholder', 'California', 81060, 'default prompt', [292, 'US-CAL-CISO']]
['placeholder', 'California', 78862, 'default prompt', [285, 'US-CAL-CISO']]
['placeholder', 'California', 51642, 'default prompt', [123, 'US-CAL-CISO']]
['placeholder', 'California', 39070, 'default prompt', [142, 'US-CAL-CISO']]
['placeholder', 'California', 77021, 'default prompt', [285, 'US-CAL-CISO']]
['placeholder', 'California', 52893, 'default prompt', [123, 'US-CAL-CISO']]
['placeholder', 'California', 69974, 'default prompt', [294, 'US-CAL-CISO']]
['placeholder', 'California', 52793, 'default prompt', [123, 'US-CAL-CISO']]
['placeholder', 'California', 41260, 'default prompt', [141, 'US-CAL-CISO']]
['placeholder', 'California', 57917, 'default prompt', [142, 'US-CAL-CISO']]
['placeholder', 'California', 46987, 'default prompt', [110, 'US-CAL-CISO']]
['placeholder', 'California', 50973, 'default prompt', [123, 'US-CAL-CISO']]
['placeholder', 'California', 38565, 'default prompt', [142, 'US-CAL-CISO']]
['placeholder', 'California', 12548, 'default prompt', [316, 'US-CAL-CISO']]
['placeholder', 'California', 63067, 'default prompt', [177, 'US-CAL-CISO']]
['placeholder', 'California', 7881, 'default prompt', [310, 'US-CAL-CISO']]
['placeholder', 'California', 61244, 'default prompt', [177, 'US-CAL-CISO']]
['placeholder', 'California', 75909, 'default prompt', [285, 'US-CAL-CISO']]
['placeholder', 'California', 86273, 'default prompt', [302, 'US-CAL-CISO']]
['placeholder', 'California', 47221, 'default prompt', [110, 'US-CAL-CISO']]
['placeholder', 'California', 59367, 'default prompt', [142, 'US-CAL-CISO']]
['placeholder', 'California', 51988, 'default prompt', [123, 'US-CAL-CISO']]
['placeholder', 'California', 78442, 'default prompt', [285, 'US-CAL-CISO']]
['placeholder', 'California', 74423, 'default prompt', [286, 'US-CAL-CISO']]
['placeholder', 'California', 74875, 'default prompt', [286, 'US-CAL-CISO']]
['placeholder', 'California', 85751, 'default prompt', [302, 'US-CAL-CISO']]
['placeholder', 'California', 48898, 'default prompt', [110, 'US-CAL-CISO']]
['placeholder', 'California', 59235, 'default prompt', [142, 'US-CAL-CISO']]
['placeholder', 'California', 67663, 'default prompt', [221, 'US-CAL-CISO']]
['placeholder', 'California', 1075, 'default prompt', [289, 'US-CAL-CISO']]
['placeholder', 'California', 58626, 'default prompt', [142, 'US-CAL-CISO']]
['placeholder', 'California', 64306, 'default prompt', [177, 'US-CAL-CISO']]
['placeholder', 'California', 73040, 'default prompt', [286, 'US-CAL-CISO']]
['placeholder', 'California', 63114, 'default prompt', [177, 'US-CAL-CISO']]
['placeholder', 'California', 53522, 'default prompt', [123, 'US-CAL-CISO']]
['placeholder', 'California', 80037, 'default prompt', [292, 'US-CAL-CISO']]
['placeholder', 'California', 74660, 'default prompt', [286, 'US-CAL-CISO']]
['placeholder', 'California', 80142, 'default prompt', [292, 'US-CAL-CISO']]
['placeholder', 'California', 62897, 'default prompt', [177, 'US-CAL-CISO']]
['placeholder', 'California', 27857, 'default prompt', [247, 'US-CAL-CISO']]
['placeholder', 'California', 85281, 'default prompt', [302, 'US-CAL-CISO']]
['placeholder', 'California', 61709, 'default prompt', [177, 'US-CAL-CISO']]
['placeholder', 'California', 63946, 'default prompt', [177, 'US-CAL-CISO']]
['placeholder', 'California', 58382, 'default prompt', [142, 'US-CAL-CISO']]
['placeholder', 'California', 79324, 'default prompt', [292, 'US-CAL-CISO']]
['placeholder', 'California', 40081, 'default prompt', [141, 'US-CAL-CISO']]
['placeholder', 'California', 61610, 'default prompt', [177, 'US-CAL-CISO']]
['placeholder', 'California', 82186, 'default prompt', [292, 'US-CAL-CISO']]
['placeholder', 'California', 62462, 'default prompt', [177, 'US-CAL-CISO']]
['placeholder', 'California', 52103, 'default prompt', [123, 'US-CAL-CISO']]
['placeholder', 'California', 54500, 'default prompt', [131, 'US-CAL-CISO']]
['placeholder', 'California', 83775, 'default prompt', [302, 'US-CAL-CISO']]
['placeholder', 'California', 63349, 'default prompt', [177, 'US-CAL-CISO']]
['placeholder', 'California', 58805, 'default prompt', [142, 'US-CAL-CISO']]
['placeholder', 'California', 28713, 'default prompt', [247, 'US-CAL-CISO']]
['placeholder', 'California', 53360, 'default prompt', [123, 'US-CAL-CISO']]
['placeholder', 'California', 51701, 'default prompt', [123, 'US-CAL-CISO']]
['placeholder', 'California', 60775, 'default prompt', [142, 'US-CAL-CISO']]
['placeholder', 'California', 32253, 'default prompt', [187, 'US-CAL-CISO']]
['placeholder', 'California', 58964, 'default prompt', [142, 'US-CAL-CISO']]
['placeholder', 'California', 68469, 'default prompt', [294, 'US-CAL-CISO']]
['placeholder', 'California', 82691, 'default prompt', [292, 'US-CAL-CISO']]
['placeholder', 'California', 59404, 'default prompt', [142, 'US-CAL-CISO']]
['placeholder', 'California', 77007, 'default prompt', [285, 'US-CAL-CISO']]
['placeholder', 'California', 81510, 'default prompt', [292, 'US-CAL-CISO']]
['placeholder', 'California', 50498, 'default prompt', [123, 'US-CAL-CISO']]
['placeholder', 'California', 71925, 'default prompt', [294, 'US-CAL-CISO']]
['placeholder', 'California', 81486, 'default prompt', [292, 'US-CAL-CISO']]
['placeholder', 'California', 77575, 'default prompt', [285, 'US-CAL-CISO']]
['placeholder', 'California', 44801, 'default prompt', [104, 'US-CAL-CISO']]
['placeholder', 'California', 1028, 'default prompt', [289, 'US-CAL-CISO']]
['placeholder', 'California', 48636, 'default prompt', [110, 'US-CAL-CISO']]
['placeholder', 'California', 82715, 'default prompt', [292, 'US-CAL-CISO']]
['placeholder', 'California', 67448, 'default prompt', [221, 'US-CAL-CISO']]
['placeholder', 'California', 77106, 'default prompt', [285, 'US-CAL-CISO']]
['placeholder', 'California', 77813, 'default prompt', [285, 'US-CAL-CISO']]
['placeholder', 'California', 60339, 'default prompt', [142, 'US-CAL-CISO']]
['placeholder', 'California', 75320, 'default prompt', [286, 'US-CAL-CISO']]
['placeholder', 'California', 68091, 'default prompt', [221, 'US-CAL-CISO']]
['placeholder', 'California', 48216, 'default prompt', [110, 'US-CAL-CISO']]
['placeholder', 'California', 35556, 'default prompt', [171, 'US-CAL-CISO']]
['placeholder', 'California', 58136, 'default prompt', [142, 'US-CAL-CISO']]
['placeholder', 'California', 59760, 'default prompt', [142, 'US-CAL-CISO']]
['placeholder', 'California', 73495, 'default prompt', [286, 'US-CAL-CISO']]
['placeholder', 'California', 51306, 'default prompt', [123, 'US-CAL-CISO']]
['placeholder', 'California', 70043, 'default prompt', [294, 'US-CAL-CISO']]
['placeholder', 'California', 52581, 'default prompt', [123, 'US-CAL-CISO']]
['placeholder', 'California', 2169, 'default prompt', [289, 'US-CAL-CISO']]
['placeholder', 'California', 77777, 'default prompt', [285, 'US-CAL-CISO']]
['placeholder', 'California', 73458, 'default prompt', [286, 'US-CAL-CISO']]
['placeholder', 'California', 38265, 'default prompt', [142, 'US-CAL-CISO']]
['placeholder', 'California', 40457, 'default prompt', [141, 'US-CAL-CISO']]
['placeholder', 'California', 56521, 'default prompt', [131, 'US-CAL-CISO']]
['placeholder', 'California', 65110, 'default prompt', [221, 'US-CAL-CISO']]
['placeholder', 'California', 69592, 'default prompt', [294, 'US-CAL-CISO']]
['placeholder', 'California', 68440, 'default prompt', [294, 'US-CAL-CISO']]
['placeholder', 'California', 72385, 'default prompt', [286, 'US-CAL-CISO']]
['placeholder', 'California', 49045, 'default prompt', [110, 'US-CAL-CISO']]
['placeholder', 'California', 54594, 'default prompt', [131, 'US-CAL-CISO']]
['placeholder', 'California', 57855, 'default prompt', [142, 'US-CAL-CISO']]
['placeholder', 'California', 52515, 'default prompt', [123, 'US-CAL-CISO']]
['placeholder', 'California', 56501, 'default prompt', [131, 'US-CAL-CISO']]
['placeholder', 'California', 70749, 'default prompt', [294, 'US-CAL-CISO']]
['placeholder', 'California', 31557, 'default prompt', [187, 'US-CAL-CISO']]
['placeholder', 'California', 53483, 'default prompt', [123, 'US-CAL-CISO']]
['placeholder', 'California', 72774, 'default prompt', [286, 'US-CAL-CISO']]
['placeholder', 'California', 49756, 'default prompt', [110, 'US-CAL-CISO']]
['placeholder', 'California', 30684, 'default prompt', [187, 'US-CAL-CISO']]
['placeholder', 'California', 80048, 'default prompt', [292, 'US-CAL-CISO']]
['placeholder', 'California', 71929, 'default prompt', [294, 'US-CAL-CISO']]
['placeholder', 'California', 56466, 'default prompt', [131, 'US-CAL-CISO']]
['placeholder', 'California', 79662, 'default prompt', [292, 'US-CAL-CISO']]
['placeholder', 'California', 76517, 'default prompt', [285, 'US-CAL-CISO']]
['placeholder', 'California', 74415, 'default prompt', [286, 'US-CAL-CISO']]
['placeholder', 'California', 68053, 'default prompt', [221, 'US-CAL-CISO']]
['placeholder', 'California', 70234, 'default prompt', [294, 'US-CAL-CISO']]
['placeholder', 'California', 57263, 'default prompt', [131, 'US-CAL-CISO']]
['placeholder', 'California', 42230, 'default prompt', [141, 'US-CAL-CISO']]
['placeholder', 'California', 66266, 'default prompt', [221, 'US-CAL-CISO']]
['placeholder', 'California', 45063, 'default prompt', [104, 'US-CAL-CISO']]
['placeholder', 'California', 68689, 'default prompt', [294, 'US-CAL-CISO']]
['placeholder', 'California', 41178, 'default prompt', [141, 'US-CAL-CISO']]
['placeholder', 'California', 54349, 'default prompt', [131, 'US-CAL-CISO']]
['placeholder', 'California', 72925, 'default prompt', [286, 'US-CAL-CISO']]
['placeholder', 'California', 34289, 'default prompt', [171, 'US-CAL-CISO']]
['placeholder', 'California', 41053, 'default prompt', [141, 'US-CAL-CISO']]
['placeholder', 'California', 65217, 'default prompt', [221, 'US-CAL-CISO']]
